Administrative,Informational,ProductRelated,Administrative_Duration,Informational_Duration,ProductRelated_Duration,ExitRates
0,0,1,0.0,0.0,0.0,0.2
0,0,2,0.0,0.0,64.0,0.1
0,0,1,0.0,0.0,0.0,0.2
0,0,2,0.0,0.0,2.666666667,0.14
0,0,10,0.0,0.0,627.5,0.05
0,0,19,0.0,0.0,154.2166667,0.024561404
0,0,1,0.0,0.0,0.0,0.2
1,0,0,0.0,0.0,0.0,0.2
0,0,2,0.0,0.0,37.0,0.1
0,0,3,0.0,0.0,738.0,0.022222222
0,0,3,0.0,0.0,395.0,0.066666667
0,0,16,0.0,0.0,407.75,0.025833333
0,0,7,0.0,0.0,280.5,0.028571429
0,0,6,0.0,0.0,98.0,0.066666667
0,0,2,0.0,0.0,68.0,0.1
2,0,23,53.0,0.0,1668.285119,0.016312636
0,0,1,0.0,0.0,0.0,0.2
0,0,13,0.0,0.0,334.9666667,0.007692308
0,0,2,0.0,0.0,32.0,0.1
0,0,20,0.0,0.0,2981.166667,0.01
0,0,8,0.0,0.0,136.1666667,0.008333333
0,0,2,0.0,0.0,0.0,0.2
0,0,3,0.0,0.0,105.0,0.033333333
0,0,2,0.0,0.0,15.0,0.1
0,0,1,0.0,0.0,0.0,0.2
0,0,5,0.0,0.0,156.0,0.04
4,0,32,64.6,0.0,1135.444444,0.00952381
0,0,4,0.0,0.0,76.0,0.1
0,0,4,0.0,0.0,63.0,0.05
1,1,45,6.0,0.0,1582.75,0.050821256
0,0,2,0.0,0.0,35.0,0.1
0,0,3,0.0,0.0,78.0,0.066666667
0,0,8,0.0,0.0,209.5,0.025
0,0,10,0.0,0.0,183.6666667,0.08
0,0,14,0.0,0.0,380.5,0.028571429
0,0,52,0.0,0.0,2086.242857,0.020352564
0,0,8,0.0,0.0,388.0,0.05625
2,0,5,18.0,0.0,298.0,0.028571429
0,0,7,0.0,0.0,63.0,0.071428571
0,0,9,0.0,0.0,482.0,0.022222222
1,0,46,9.0,0.0,4084.393939,0.001794872
0,0,3,0.0,0.0,22.0,0.066666667
0,0,15,0.0,0.0,310.1666667,0.006666667
0,0,2,0.0,0.0,34.0,0.05
0,0,4,0.0,0.0,88.0,0.05
0,0,22,0.0,0.0,622.25,0.006060606
0,0,14,0.0,0.0,222.4,0.057142857
0,0,3,0.0,0.0,80.0,0.133333333
0,0,11,0.0,0.0,800.8333333,0.003636364
0,0,1,0.0,0.0,0.0,0.2
0,0,1,0.0,0.0,0.0,0.2
0,0,12,0.0,0.0,265.1666667,0.026111111
0,0,2,0.0,0.0,29.0,0.1
0,0,4,0.0,0.0,160.0,0.075
0,0,4,0.0,0.0,135.6666667,0.025
0,0,1,0.0,0.0,0.0,0.2
0,0,1,0.0,0.0,0.0,0.2
4,2,36,56.0,120.0,998.7416667,0.014736467
0,0,4,0.0,0.0,104.0,0.05
2,0,16,16.0,0.0,381.6865079,0.046568627
0,0,6,0.0,0.0,169.0,0.016666667
0,0,8,0.0,0.0,400.8,0.120833333
12,0,42,279.4166667,0.0,1553.583333,0.019666667
0,0,14,0.0,0.0,706.5,0.007142857
0,0,1,0.0,0.0,0.0,0.2
3,0,27,87.83333333,0.0,798.3333333,0.012643678
4,0,90,44.0,0.0,6951.972222,0.015013034
0,0,1,0.0,0.0,0.0,0.2
0,0,18,0.0,0.0,902.0,0.007407407
0,0,1,0.0,0.0,0.0,0.2
0,0,1,0.0,0.0,0.0,0.2
0,0,20,0.0,0.0,197.3777778,0.0525
0,0,2,0.0,0.0,43.0,0.1
0,0,8,0.0,0.0,426.6666667,0.0125
0,0,3,0.0,0.0,135.0,0.066666667
0,0,16,0.0,0.0,588.3333333,0.025
10,0,36,1005.666667,0.0,2111.341667,0.014492754
0,0,2,0.0,0.0,76.0,0.05
0,0,1,0.0,0.0,0.0,0.2
0,0,1,0.0,0.0,0.0,0.2
0,0,7,0.0,0.0,208.0,0.028571429
0,0,4,0.0,0.0,270.0,0.016666667
0,0,6,0.0,0.0,39.5,0.02
0,0,12,0.0,0.0,375.0,0.058333333
0,0,1,0.0,0.0,0.0,0.2
0,0,1,0.0,0.0,0.0,0.2
0,0,7,0.0,0.0,150.0,0.085714286
0,0,3,0.0,0.0,138.0,0.066666667
0,0,7,0.0,0.0,337.5,0.023809524
0,0,19,0.0,0.0,620.0333333,0.007894737
2,0,15,36.0,0.0,168.8461538,0.011764706
0,0,1,0.0,0.0,0.0,0.2
0,0,2,0.0,0.0,52.0,0.1
0,0,13,0.0,0.0,649.25,0.015384615
