,Administrative,Informational,ProductRelated,Administrative_Duration,Informational_Duration,ProductRelated_Duration,Weekend,VisitorType,Revenue
0,0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
1,0,0,2,0.0,0.0,64.0,False,Returning_Visitor,False
2,0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
3,0,0,2,0.0,0.0,2.666666667,False,Returning_Visitor,False
4,0,0,10,0.0,0.0,627.5,True,Returning_Visitor,False
5,0,0,19,0.0,0.0,154.2166667,False,Returning_Visitor,False
6,0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
7,1,0,0,0.0,0.0,0.0,True,Returning_Visitor,False
8,0,0,2,0.0,0.0,37.0,False,Returning_Visitor,False
9,0,0,3,0.0,0.0,738.0,False,Returning_Visitor,False
10,0,0,3,0.0,0.0,395.0,False,Returning_Visitor,False
11,0,0,16,0.0,0.0,407.75,False,Returning_Visitor,False
12,0,0,7,0.0,0.0,280.5,False,Returning_Visitor,False
13,0,0,6,0.0,0.0,98.0,False,Returning_Visitor,False
14,0,0,2,0.0,0.0,68.0,False,Returning_Visitor,False
15,2,0,23,53.0,0.0,1668.285119,False,Returning_Visitor,False
16,0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
17,0,0,13,0.0,0.0,334.9666667,True,Returning_Visitor,False
18,0,0,2,0.0,0.0,32.0,False,Returning_Visitor,False
19,0,0,20,0.0,0.0,2981.166667,False,Returning_Visitor,False
20,0,0,8,0.0,0.0,136.1666667,True,Returning_Visitor,False
21,0,0,2,0.0,0.0,0.0,False,Returning_Visitor,False
22,0,0,3,0.0,0.0,105.0,False,Returning_Visitor,False
23,0,0,2,0.0,0.0,15.0,False,Returning_Visitor,False
24,0,0,1,0.0,0.0,0.0,True,Returning_Visitor,False
25,0,0,5,0.0,0.0,156.0,False,Returning_Visitor,False
26,4,0,32,64.6,0.0,1135.444444,False,Returning_Visitor,False
27,0,0,4,0.0,0.0,76.0,False,Returning_Visitor,False
