Administrative,Informational,ProductRelated,Administrative_Duration,Informational_Duration,ProductRelated_Duration,Weekend,VisitorType,Revenue
0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
0,0,2,0.0,0.0,64.0,False,Returning_Visitor,False
0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
0,0,2,0.0,0.0,2.666666667,False,Returning_Visitor,False
0,0,10,0.0,0.0,627.5,True,Returning_Visitor,False
0,0,19,0.0,0.0,154.2166667,False,Returning_Visitor,False
0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
1,0,0,0.0,0.0,0.0,True,Returning_Visitor,False
0,0,2,0.0,0.0,37.0,False,Returning_Visitor,False
0,0,3,0.0,0.0,738.0,False,Returning_Visitor,False
0,0,3,0.0,0.0,395.0,False,Returning_Visitor,False
0,0,16,0.0,0.0,407.75,False,Returning_Visitor,False
0,0,7,0.0,0.0,280.5,False,Returning_Visitor,False
0,0,6,0.0,0.0,98.0,False,Returning_Visitor,False
0,0,2,0.0,0.0,68.0,False,Returning_Visitor,False
2,0,23,53.0,0.0,1668.285119,False,Returning_Visitor,False
0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
0,0,13,0.0,0.0,334.9666667,True,Returning_Visitor,False
0,0,2,0.0,0.0,32.0,False,Returning_Visitor,False
0,0,20,0.0,0.0,2981.166667,False,Returning_Visitor,False
0,0,8,0.0,0.0,136.1666667,True,Returning_Visitor,False
0,0,2,0.0,0.0,0.0,False,Returning_Visitor,False
0,0,3,0.0,0.0,105.0,False,Returning_Visitor,False
0,0,2,0.0,0.0,15.0,False,Returning_Visitor,False
0,0,1,0.0,0.0,0.0,True,Returning_Visitor,False
0,0,5,0.0,0.0,156.0,False,Returning_Visitor,False
4,0,32,64.6,0.0,1135.444444,False,Returning_Visitor,False
0,0,4,0.0,0.0,76.0,False,Returning_Visitor,False
0,0,4,0.0,0.0,63.0,False,Returning_Visitor,False
1,1,45,6.0,0.0,1582.75,False,Returning_Visitor,False
0,0,2,0.0,0.0,35.0,False,Returning_Visitor,False
0,0,3,0.0,0.0,78.0,True,Returning_Visitor,False
0,0,8,0.0,0.0,209.5,False,Returning_Visitor,False
0,0,10,0.0,0.0,183.6666667,False,Returning_Visitor,False
0,0,14,0.0,0.0,380.5,False,Returning_Visitor,False
0,0,52,0.0,0.0,2086.242857,False,Returning_Visitor,False
0,0,8,0.0,0.0,388.0,True,Returning_Visitor,False
2,0,5,18.0,0.0,298.0,False,Returning_Visitor,False
0,0,7,0.0,0.0,63.0,False,Returning_Visitor,False
0,0,9,0.0,0.0,482.0,False,Returning_Visitor,False
1,0,46,9.0,0.0,4084.393939,False,Returning_Visitor,False
0,0,3,0.0,0.0,22.0,False,Returning_Visitor,False
0,0,15,0.0,0.0,310.1666667,False,Returning_Visitor,False
0,0,2,0.0,0.0,34.0,False,Returning_Visitor,False
0,0,4,0.0,0.0,88.0,False,Returning_Visitor,False
0,0,22,0.0,0.0,622.25,False,Returning_Visitor,False
0,0,14,0.0,0.0,222.4,False,Returning_Visitor,False
0,0,3,0.0,0.0,80.0,False,Returning_Visitor,False
0,0,11,0.0,0.0,800.8333333,False,Returning_Visitor,False
0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
0,0,1,0.0,0.0,0.0,True,Returning_Visitor,False
0,0,12,0.0,0.0,265.1666667,False,Returning_Visitor,False
0,0,2,0.0,0.0,29.0,True,Returning_Visitor,False
0,0,4,0.0,0.0,160.0,False,Returning_Visitor,False
0,0,4,0.0,0.0,135.6666667,False,Returning_Visitor,False
0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
4,2,36,56.0,120.0,998.7416667,False,Returning_Visitor,False
0,0,4,0.0,0.0,104.0,False,Returning_Visitor,False
2,0,16,16.0,0.0,381.6865079,False,Returning_Visitor,False
0,0,6,0.0,0.0,169.0,False,Returning_Visitor,False
0,0,8,0.0,0.0,400.8,False,Returning_Visitor,False
12,0,42,279.4166667,0.0,1553.583333,False,Returning_Visitor,False
0,0,14,0.0,0.0,706.5,True,Returning_Visitor,False
0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
3,0,27,87.83333333,0.0,798.3333333,False,Returning_Visitor,True
4,0,90,44.0,0.0,6951.972222,False,Returning_Visitor,False
0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
0,0,18,0.0,0.0,902.0,False,Returning_Visitor,False
0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
0,0,20,0.0,0.0,197.3777778,False,Returning_Visitor,False
0,0,2,0.0,0.0,43.0,False,Returning_Visitor,False
0,0,8,0.0,0.0,426.6666667,False,Returning_Visitor,False
0,0,3,0.0,0.0,135.0,False,Returning_Visitor,False
0,0,16,0.0,0.0,588.3333333,False,Returning_Visitor,False
0,0,2,0.0,0.0,76.0,False,Returning_Visitor,False
0,0,1,0.0,0.0,0.0,True,Returning_Visitor,False
0,0,1,0.0,0.0,0.0,False,Returning_Visitor,False
0,0,7,0.0,0.0,208.0,True,Returning_Visitor,False
0,0,4,0.0,0.0,270.0,False,Returning_Visitor,False
